ID;VALOR_PARCELA;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;VALOR_TOTAL;TOTAL_PARCELAS;PARCELAS_PAGAS;PARCELAS_NAO_PAGAS
1480;"81,22";0;0;0;0;0;0;0;0;;;;;;;;"649,76";8;8;0
1481;"23,49";0;0;0;0;0;0;;;;;;;;;;"140,94";6;6;0
1482;"14,5";0;0;0;0;0;0;;;;;;;;;;87;6;6;0
1483;"66,15";0;0;0;;;;;;;;;;;;;"198,45";3;3;0
1484;"69,96";0;0;0;0;0;;;;;;;;;;;"349,8";5;5;0
1485;"29,5";0;0;0;0;;;;;;;;;;;;118;4;4;0
1486;159;0;0;0;0;0;0;0;0;0;;;;;;;1431;9;9;0
1487;"111,76";0;0;0;0;;;;;;;;;;;;"447,04";4;4;0
1488;"13,01";0;0;0;0;0;0;;;;;;;;;;"78,06";6;6;0
1489;"130,85";0;0;0;0;0;;;;;;;;;;;"654,25";5;5;0
1490;"147,04";0;0;0;0;0;0;0;0;;;;;;;;"1176,32";8;8;0
1491;"179,23";0;0;0;0;0;0;0;;;;;;;;;"1254,61";7;7;0
1492;125;0;0;0;0;0;0;;;;;;;;;;750;6;6;0
1493;"66,77";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"1001,55";15;15;0
1494;"124,95";0;0;0;0;0;;;;;;;;;;;"624,75";5;5;0
1495;"79,75";0;0;0;0;0;0;0;0;;;;;;;;638;8;8;0
1496;"100,67";0;0;0;0;0;0;;;;;;;;;;"604,02";6;6;0
1497;"89,12";0;0;0;0;0;;;;;;;;;;;"445,6";5;5;0
1498;"68,25";0;0;0;0;0;0;0;0;0;0;;;;;;"682,5";10;10;0
1499;"110,25";0;0;0;0;0;0;;;;;;;;;;"661,5";6;6;0
1500;"39,25";0;0;0;0;0;0;0;0;0;0;;;;;;"392,5";10;10;0
1501;"101,55";0;0;0;0;0;0;0;0;0;0;;;;;;"1015,5";10;10;0
1502;"54,73";0;0;;;;;;;;;;;;;;"109,46";2;2;0
1503;"33,81";0;0;0;0;;;;;;;;;;;;"135,24";4;4;0
1504;"111,93";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1343,16";12;12;0
1505;"95,29";0;0;0;0;0;0;0;0;0;0;;;;;;"952,9";10;10;0
1506;"190,34";0;0;0;0;0;0;;;;;;;;;;"1142,04";6;6;0
1507;"102,25";0;0;0;0;;;;;;;;;;;;409;4;4;0
1508;"61,93";0;0;0;0;0;;;;;;;;;;;"309,65";5;5;0
1509;"11,55";0;0;0;0;0;0;;;;;;;;;;"69,3";6;6;0
1510;"55,66";0;0;0;;;;;;;;;;;;;"166,98";3;3;0
1511;"49,47";0;0;0;0;0;0;0;0;0;0;0;0;;;;"593,64";12;12;0
1512;"98,13";0;0;0;0;0;0;0;0;0;0;;;;;;"981,3";10;10;0
1513;"155,06";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1860,72";12;12;0
1514;"77,73";0;0;0;0;0;0;0;0;0;0;;;;;;"777,3";10;10;0
1515;"157,28";0;0;0;0;0;0;0;0;0;0;;;;;;"1572,8";10;10;0
1516;"176,82";0;0;0;0;0;0;0;0;0;0;0;0;;;;"2121,84";12;12;0
1517;"81,31";0;0;0;0;0;0;0;0;;;;;;;;"650,48";8;8;0
1518;"92,77";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1113,24";12;12;0
1519;"76,48";0;0;0;0;0;0;0;0;;;;;;;;"611,84";8;8;0
1520;"190,95";0;0;0;0;0;0;;;;;;;;;;"1145,7";6;6;0
1521;"136,54";0;0;0;0;0;0;;;;;;;;;;"819,24";6;6;0
1522;"69,23";0;0;0;0;0;;;;;;;;;;;"346,15";5;5;0
1523;"96,23";0;0;0;0;0;0;0;;;;;;;;;"673,61";7;7;0
1524;"64,82";0;0;0;0;;;;;;;;;;;;"259,28";4;4;0
1525;"43,5";0;0;;;;;;;;;;;;;;87;2;2;0
1526;"90,59";0;0;0;0;0;0;;;;;;;;;;"543,54";6;6;0
1527;"128,89";0;0;0;0;0;0;0;;;;;;;;;"902,23";7;7;0
1528;"227,04";0;0;0;0;0;0;;;;;;;;;;"1362,24";6;6;0
1529;"111,3";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1335,6";12;12;0
1530;"43,75";0;0;0;0;0;;;;;;;;;;;"218,75";5;5;0
1531;"112,58";0;0;0;0;;;;;;;;;;;;"450,32";4;4;0
1532;"80,23";0;0;0;0;0;0;0;0;0;0;0;0;;;;"962,76";12;12;0
1533;"90,85";0;0;0;0;0;0;;;;;;;;;;"545,1";6;6;0
1534;"87,78";0;0;0;0;;;;;;;;;;;;"351,12";4;4;0
1535;"21,55";0;0;0;0;;;;;;;;;;;;"86,2";4;4;0
1536;"139,98";0;0;0;0;0;;;;;;;;;;;"699,9";5;5;0
1537;"32,42";0;0;0;0;0;;;;;;;;;;;"162,1";5;5;0
1538;"40,76";0;0;0;0;0;0;0;0;0;0;;;;;;"407,6";10;10;0
1539;185;0;0;0;0;0;0;0;0;0;0;;;;;;1850;10;10;0
1540;"82,94";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"1244,1";15;15;0
1541;"197,66";0;0;0;0;0;0;;;;;;;;;;"1185,96";6;6;0
1542;"134,75";0;0;0;;;;;;;;;;;;;"404,25";3;3;0
1543;"15,25";0;0;0;0;0;0;;;;;;;;;;"91,5";6;6;0
1544;"123,05";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1476,6";12;12;0
1545;"32,73";0;0;0;0;;;;;;;;;;;;"130,92";4;4;0
1546;"198,65";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"2979,75";15;15;0
1547;"188,06";0;0;0;0;0;0;0;0;0;;;;;;;"1692,54";9;9;0
1548;"44,99";0;0;0;0;;;;;;;;;;;;"179,96";4;4;0
1549;"107,13";0;0;0;0;0;;;;;;;;;;;"535,65";5;5;0
1550;"53,96";0;0;0;0;;;;;;;;;;;;"215,84";4;4;0
1551;"62,43";0;0;0;0;0;0;;;;;;;;;;"374,58";6;6;0
1552;"81,17";0;0;0;0;0;0;0;0;0;0;;;;;;"811,7";10;10;0
1553;"201,02";0;0;0;0;0;0;;;;;;;;;;"1206,12";6;6;0
1554;"54,96";0;0;0;0;;;;;;;;;;;;"219,84";4;4;0
1555;"40,64";0;0;0;;;;;;;;;;;;;"121,92";3;3;0
1556;"19,66";0;0;0;0;0;0;;;;;;;;;;"117,96";6;6;0
1557;"82,85";0;0;0;0;0;0;0;0;0;0;0;0;;;;"994,2";12;12;0
1558;79;0;0;0;0;0;0;;;;;;;;;;474;6;6;0
1559;"52,04";0;0;0;;;;;;;;;;;;;"156,12";3;3;0
1560;"13,22";0;0;0;0;0;0;;;;;;;;;;"79,32";6;6;0
1561;"167,59";0;0;0;0;;;;;;;;;;;;"670,36";4;4;0
1562;"164,13";0;0;0;0;0;0;;;;;;;;;;"984,78";6;6;0
1563;"86,95";0;0;0;0;0;0;;;;;;;;;;"521,7";6;6;0
1564;"22,43";0;0;0;0;0;;;;;;;;;;;"112,15";5;5;0
1565;"104,9";0;0;0;0;0;;;;;;;;;;;"524,5";5;5;0
1566;"37,63";0;0;0;0;0;0;;;;;;;;;;"225,78";6;6;0
1567;"130,14";0;0;;;;;;;;;;;;;;"260,28";2;2;0
1568;"165,18";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1982,16";12;12;0
1569;10;0;0;0;0;0;0;;;;;;;;;;60;6;6;0
1570;"15,22";0;0;;;;;;;;;;;;;;"30,44";2;2;0
1571;"82,36";0;0;0;0;0;0;0;0;;;;;;;;"658,88";8;8;0
1572;"172,42";0;0;0;0;0;;;;;;;;;;;"862,1";5;5;0
1573;91;0;0;0;0;0;;;;;;;;;;;455;5;5;0
1574;"53,55";0;0;0;0;0;0;0;0;0;0;0;0;;;;"642,6";12;12;0
1575;"96,03";0;0;0;0;0;0;0;0;;;;;;;;"768,24";8;8;0
1576;"53,96";0;0;0;0;0;0;;;;;;;;;;"323,76";6;6;0
1577;"82,82";0;0;0;0;0;0;0;0;0;0;0;0;;;;"993,84";12;12;0
1578;"30,07";0;0;0;0;0;0;;;;;;;;;;"180,42";6;6;0
1579;"164,13";0;0;0;0;0;0;;;;;;;;;;"984,78";6;6;0
1580;"12,47";0;0;0;0;0;;;;;;;;;;;"62,35";5;5;0
1581;"19,16";0;0;0;0;0;0;;;;;;;;;;"114,96";6;6;0
1582;"82,1";0;0;0;0;0;0;0;;;;;;;;;"574,7";7;7;0
1583;"64,68";0;0;;;;;;;;;;;;;;"129,36";2;2;0
1584;"196,46";0;0;0;0;0;0;0;0;;;;;;;;"1571,68";8;8;0
1585;"107,62";0;0;;;;;;;;;;;;;;"215,24";2;2;0
1586;"68,61";0;0;0;0;0;0;0;0;;;;;;;;"548,88";8;8;0
1587;"158,95";0;0;0;0;0;0;0;0;0;0;;;;;;"1589,5";10;10;0
1588;43;0;0;0;0;0;0;;;;;;;;;;258;6;6;0
1589;"106,76";0;0;0;0;0;0;;;;;;;;;;"640,56";6;6;0
1590;"92,24";0;0;0;0;0;0;;;;;;;;;;"553,44";6;6;0
1591;"77,76";0;0;0;0;0;0;0;0;0;0;;;;;;"777,6";10;10;0
1592;"125,01";0;0;0;0;0;0;0;0;0;0;;;;;;"1250,1";10;10;0
1593;"18,9";0;0;0;0;0;0;;;;;;;;;;"113,4";6;6;0
1594;"14,7";0;0;0;0;0;0;;;;;;;;;;"88,2";6;6;0
1595;"78,85";0;0;0;0;0;0;0;0;0;0;0;;;;;"867,35";11;11;0
1596;"113,72";0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"1592,08";14;14;0
1597;"167,55";0;0;0;0;0;;;;;;;;;;;"837,75";5;5;0
1598;"35,39";0;0;0;0;0;0;;;;;;;;;;"212,34";6;6;0
1599;"94,12";0;0;0;0;0;0;;;;;;;;;;"564,72";6;6;0
1600;"148,99";0;0;0;;;;;;;;;;;;;"446,97";3;3;0
1601;"47,46";0;0;0;0;0;0;0;0;0;0;;;;;;"474,6";10;10;0
1602;"56,25";0;0;0;0;0;0;0;0;0;0;;;;;;"562,5";10;10;0
1603;"174,98";0;0;0;;;;;;;;;;;;;"524,94";3;3;0
1604;"143,44";0;0;0;0;;;;;;;;;;;;"573,76";4;4;0
1605;"94,23";0;0;0;0;0;0;;;;;;;;;;"565,38";6;6;0
1606;72;0;0;0;0;;;;;;;;;;;;288;4;4;0
1607;103;0;0;0;0;0;0;;;;;;;;;;618;6;6;0
1608;"88,94";0;0;0;0;0;0;0;0;0;0;;;;;;"889,4";10;10;0
1609;"124,67";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1496,04";12;12;0
1610;"53,15";0;0;0;0;0;0;0;0;0;0;;;;;;"531,5";10;10;0
1611;111;0;0;0;0;0;0;0;0;0;0;0;0;;;;1332;12;12;0
1612;"136,39";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1636,68";12;12;0
1613;"39,27";0;0;0;;;;;;;;;;;;;"117,81";3;3;0
1614;"50,88";0;0;0;0;0;;;;;;;;;;;"254,4";5;5;0
1615;"105,85";0;0;0;0;0;0;0;0;0;;;;;;;"952,65";9;9;0
1616;"65,41";0;0;;;;;;;;;;;;;;"130,82";2;2;0
1617;"28,27";0;0;0;0;;;;;;;;;;;;"113,08";4;4;0
1618;"102,83";0;0;0;0;0;;;;;;;;;;;"514,15";5;5;0
1619;"144,77";0;0;0;0;0;;;;;;;;;;;"723,85";5;5;0
1620;"19,32";0;0;0;0;0;0;;;;;;;;;;"115,92";6;6;0
1621;71;0;0;0;0;0;0;0;0;0;0;0;0;;;;852;12;12;0
1622;"130,92";0;0;0;0;0;;;;;;;;;;;"654,6";5;5;0
1623;"47,57";0;0;0;0;0;0;0;0;0;0;0;0;;;;"570,84";12;12;0
1624;"30,59";0;0;0;0;0;0;;;;;;;;;;"183,54";6;6;0
1625;"67,92";0;0;0;0;0;0;;;;;;;;;;"407,52";6;6;0
1626;"143,95";0;0;0;0;0;;;;;;;;;;;"719,75";5;5;0
1627;"103,08";0;0;0;0;0;0;0;0;0;0;;;;;;"1030,8";10;10;0
1628;101;0;;;;;;;;;;;;;;;101;1;1;0
1629;"67,15";0;0;0;0;0;0;0;0;0;0;0;0;;;;"805,8";12;12;0
1630;"129,02";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1548,24";12;12;0
1631;"32,67";0;0;;;;;;;;;;;;;;"65,34";2;2;0
1632;"145,68";0;0;0;0;0;0;0;0;0;0;;;;;;"1456,8";10;10;0
1633;"79,67";0;0;0;0;0;;;;;;;;;;;"398,35";5;5;0
1634;"20,72";0;0;0;0;0;0;;;;;;;;;;"124,32";6;6;0
1635;"26,07";0;0;0;0;0;0;;;;;;;;;;"156,42";6;6;0
1636;"105,88";0;0;0;0;0;0;0;0;0;;;;;;;"952,92";9;9;0
1637;"183,99";0;0;0;0;0;0;0;0;0;0;0;;;;;"2023,89";11;11;0
1638;"49,55";0;0;0;0;0;0;;;;;;;;;;"297,3";6;6;0
1639;"29,63";0;0;0;;;;;;;;;;;;;"88,89";3;3;0
1640;"23,85";0;0;0;0;;;;;;;;;;;;"95,4";4;4;0
1641;"83,02";0;0;0;0;0;0;0;0;0;0;0;0;;;;"996,24";12;12;0
1642;"75,38";0;0;0;;;;;;;;;;;;;"226,14";3;3;0
1643;"82,94";0;0;0;0;;;;;;;;;;;;"331,76";4;4;0
1644;139;0;0;0;0;0;0;0;0;0;0;;;;;;1390;10;10;0
1645;"205,78";0;0;0;0;;;;;;;;;;;;"823,12";4;4;0
1646;"51,22";0;0;0;;;;;;;;;;;;;"153,66";3;3;0
1647;149;0;0;0;0;0;0;0;0;0;;;;;;;1341;9;9;0
1648;"98,3";0;0;0;0;0;0;0;;;;;;;;;"688,1";7;7;0
1649;"52,57";0;0;0;0;0;0;0;0;0;0;0;0;;;;"630,84";12;12;0
1650;"89,1";0;0;0;0;0;0;0;0;0;0;;;;;;891;10;10;0
1651;"182,84";0;0;0;0;0;0;;;;;;;;;;"1097,04";6;6;0
1652;"189,88";0;0;0;0;0;0;0;0;0;0;0;0;;;;"2278,56";12;12;0
1653;"93,8";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1125,6";12;12;0
1654;"153,27";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1839,24";12;12;0
1655;"84,39";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1012,68";12;12;0
1656;"145,39";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1744,68";12;12;0
1657;"57,49";0;0;0;0;0;0;;;;;;;;;;"344,94";6;6;0
1658;"218,8";0;0;0;0;;;;;;;;;;;;"875,2";4;4;0
1659;"88,53";0;0;0;0;0;0;0;0;;;;;;;;"708,24";8;8;0
1660;"124,17";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1490,04";12;12;0
1661;"65,24";0;0;0;0;0;0;;;;;;;;;;"391,44";6;6;0
1662;"55,53";0;0;0;0;0;0;;;;;;;;;;"333,18";6;6;0
1663;"96,04";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1152,48";12;12;0
1664;"118,72";0;0;0;0;;;;;;;;;;;;"474,88";4;4;0
1665;"85,41";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1024,92";12;12;0
1666;"63,31";0;0;0;0;0;0;0;;;;;;;;;"443,17";7;7;0
1667;"62,14";0;0;0;;;;;;;;;;;;;"186,42";3;3;0
1668;"104,57";0;0;0;0;0;0;0;;;;;;;;;"731,99";7;7;0
1669;"39,47";0;0;0;0;0;0;0;0;0;0;0;0;;;;"473,64";12;12;0
1670;"19,67";0;0;0;0;0;0;0;0;0;0;0;0;;;;"236,04";12;12;0
1671;"176,67";0;0;0;0;0;0;;;;;;;;;;"1060,02";6;6;0
1672;"23,65";0;0;0;0;0;0;;;;;;;;;;"141,9";6;6;0
1673;"98,59";0;0;0;0;0;0;0;;;;;;;;;"690,13";7;7;0
1674;175;0;0;0;;;;;;;;;;;;;525;3;3;0
1675;"198,85";0;0;0;0;0;0;0;0;0;0;0;0;;;;"2386,2";12;12;0
1676;"64,98";0;0;0;0;;;;;;;;;;;;"259,92";4;4;0
1677;"40,35";0;0;0;0;0;0;;;;;;;;;;"242,1";6;6;0
1678;"37,29";0;0;0;;;;;;;;;;;;;"111,87";3;3;0
1679;"144,46";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1733,52";12;12;0
1680;"185,66";0;0;0;0;0;0;0;0;0;0;;;;;;"1856,6";10;10;0
1681;71;0;0;0;0;0;;;;;;;;;;;355;5;5;0
1682;"34,16";0;0;0;0;0;0;;;;;;;;;;"204,96";6;6;0
1683;"86,44";0;0;0;0;;;;;;;;;;;;"345,76";4;4;0
1684;"286,36";0;0;0;0;0;0;;;;;;;;;;"1718,16";6;6;0
1685;"53,64";0;0;0;;;;;;;;;;;;;"160,92";3;3;0
1686;"143,57";0;0;0;0;;;;;;;;;;;;"574,28";4;4;0
1687;"80,05";0;0;0;0;;;;;;;;;;;;"320,2";4;4;0
1688;"125,55";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1506,6";12;12;0
1689;93;0;0;0;0;0;0;0;0;0;0;0;0;;;;1116;12;12;0
1690;"99,55";0;0;0;0;0;0;0;0;;;;;;;;"796,4";8;8;0
1691;"169,46";0;0;0;0;0;0;0;0;0;0;;;;;;"1694,6";10;10;0
1692;"60,49";0;1;1;1;1;1;;;;;;;;;;"362,94";6;1;5
1693;"63,64";0;0;0;;;;;;;;;;;;;"190,92";3;3;0
1694;103;0;0;0;0;0;0;0;0;0;0;0;0;;;;1236;12;12;0
1695;"105,46";0;0;0;0;0;0;;;;;;;;;;"632,76";6;6;0
1696;"36,8";0;0;0;0;0;;;;;;;;;;;184;5;5;0
1697;"95,44";0;0;0;;;;;;;;;;;;;"286,32";3;3;0
1698;"95,39";0;0;0;0;0;0;0;0;0;;;;;;;"858,51";9;9;0
1699;"161,88";0;0;0;0;0;;;;;;;;;;;"809,4";5;5;0
1700;"110,43";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1325,16";12;12;0
1701;"193,21";0;0;0;0;0;0;0;0;;;;;;;;"1545,68";8;8;0
1702;"95,97";0;0;0;0;;;;;;;;;;;;"383,88";4;4;0
1703;"138,2";0;0;0;0;0;;;;;;;;;;;691;5;5;0
1704;"116,09";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1393,08";12;12;0
1705;"179,35";0;0;0;0;0;0;0;0;0;0;;;;;;"1793,5";10;10;0
1706;"81,43";0;0;0;0;;;;;;;;;;;;"325,72";4;4;0
1707;"110,71";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1328,52";12;12;0
1708;"20,82";0;0;0;0;0;0;;;;;;;;;;"124,92";6;6;0
1709;"88,06";0;0;0;0;0;0;;;;;;;;;;"528,36";6;6;0
1710;"74,38";0;0;0;0;0;0;0;0;0;0;0;0;;;;"892,56";12;12;0
1711;"72,31";0;0;0;0;0;0;0;0;;;;;;;;"578,48";8;8;0
1712;"144,77";0;0;0;0;;;;;;;;;;;;"579,08";4;4;0
1713;"176,08";0;0;0;0;;;;;;;;;;;;"704,32";4;4;0
1714;"95,13";0;0;0;0;0;0;0;;;;;;;;;"665,91";7;7;0
1715;"97,19";0;0;0;;;;;;;;;;;;;"291,57";3;3;0
1716;"69,43";0;0;0;0;0;0;0;0;0;0;;;;;;"694,3";10;10;0
1717;"93,84";0;0;0;0;0;0;0;0;;;;;;;;"750,72";8;8;0
1718;"97,43";0;0;0;0;;;;;;;;;;;;"389,72";4;4;0
1719;"105,85";0;0;0;0;0;0;0;0;0;;;;;;;"952,65";9;9;0
1720;"88,9";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1066,8";12;12;0
1721;"70,44";0;0;0;0;0;0;0;0;0;0;;;;;;"704,4";10;10;0
1722;"84,24";0;0;0;;;;;;;;;;;;;"252,72";3;3;0
1723;599;0;;;;;;;;;;;;;;;599;1;1;0
1724;"151,99";0;0;0;0;0;0;;;;;;;;;;"911,94";6;6;0
1725;"120,77";0;0;0;0;0;;;;;;;;;;;"603,85";5;5;0
1726;"63,7";0;0;0;0;0;0;;;;;;;;;;"382,2";6;6;0
1727;"43,85";0;0;0;0;0;;;;;;;;;;;"219,25";5;5;0
1728;"29,25";0;0;0;0;0;0;0;0;0;0;0;0;;;;351;12;12;0
1729;"27,8";0;0;0;;;;;;;;;;;;;"83,4";3;3;0
1730;"29,78";0;0;0;0;0;0;;;;;;;;;;"178,68";6;6;0
1731;"34,83";0;0;;;;;;;;;;;;;;"69,66";2;2;0
1732;"12,53";0;0;0;0;0;0;;;;;;;;;;"75,18";6;6;0
1733;"62,01";0;0;0;0;0;;;;;;;;;;;"310,05";5;5;0
1734;"94,21";0;0;0;0;0;0;0;0;;;;;;;;"753,68";8;8;0
1735;"99,55";0;0;0;0;0;0;;;;;;;;;;"597,3";6;6;0
1736;"95,8";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1149,6";12;12;0
1737;"43,33";0;0;0;0;0;0;;;;;;;;;;"259,98";6;6;0
1738;"69,87";0;0;0;0;0;0;0;0;0;0;0;0;;;;"838,44";12;12;0
1739;"35,98";0;0;0;0;0;;;;;;;;;;;"179,9";5;5;0
1740;"40,86";0;0;;;;;;;;;;;;;;"81,72";2;2;0
1741;"139,79";0;0;0;0;0;0;;;;;;;;;;"838,74";6;6;0
1742;"56,33";0;0;0;;;;;;;;;;;;;"168,99";3;3;0
1743;"91,32";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1095,84";12;12;0
1744;"17,33";0;0;0;0;0;;;;;;;;;;;"86,65";5;5;0
1745;"39,9";0;0;0;;;;;;;;;;;;;"119,7";3;3;0
1746;"27,64";0;0;0;;;;;;;;;;;;;"82,92";3;3;0
1747;"198,59";0;0;0;0;0;0;0;0;;;;;;;;"1588,72";8;8;0
1748;"71,63";0;0;0;0;0;0;0;;;;;;;;;"501,41";7;7;0
1749;"63,63";0;0;0;0;;;;;;;;;;;;"254,52";4;4;0
1750;"43,68";0;0;0;;;;;;;;;;;;;"131,04";3;3;0
1751;"22,57";0;0;0;0;0;0;;;;;;;;;;"135,42";6;6;0
1752;"147,39";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1768,68";12;12;0
1753;"98,33";0;0;0;0;0;0;;;;;;;;;;"589,98";6;6;0
1754;"137,21";0;0;0;0;0;0;;;;;;;;;;"823,26";6;6;0
1755;207;0;0;;;;;;;;;;;;;;414;2;2;0
1756;"64,24";0;0;;;;;;;;;;;;;;"128,48";2;2;0
1757;"48,47";0;0;0;0;0;0;0;0;0;0;0;0;;;;"581,64";12;12;0
1758;"75,31";0;0;0;0;0;0;0;0;0;0;;;;;;"753,1";10;10;0
1759;"54,6";0;0;0;0;0;0;0;;;;;;;;;"382,2";7;7;0
1760;"103,06";0;0;0;0;0;0;;;;;;;;;;"618,36";6;6;0
1761;"112,04";0;0;0;;;;;;;;;;;;;"336,12";3;3;0
1762;"11,37";0;0;0;0;0;0;;;;;;;;;;"68,22";6;6;0
1763;"64,75";0;0;0;0;0;;;;;;;;;;;"323,75";5;5;0
1764;"77,83";0;0;0;0;0;;;;;;;;;;;"389,15";5;5;0
1765;"52,94";0;0;0;0;0;0;0;0;;;;;;;;"423,52";8;8;0
1766;"51,6";0;0;0;0;0;0;0;0;0;0;;;;;;516;10;10;0
1767;"77,24";0;0;0;0;0;0;0;0;;;;;;;;"617,92";8;8;0
1768;"52,82";0;0;0;0;0;0;;;;;;;;;;"316,92";6;6;0
1769;"59,36";0;0;0;0;0;0;0;0;0;0;;;;;;"593,6";10;10;0
1770;"54,47";0;0;0;0;0;0;0;0;0;0;0;0;;;;"653,64";12;12;0
1771;"101,39";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1216,68";12;12;0
1772;"116,36";0;0;0;0;0;0;0;0;0;;;;;;;"1047,24";9;9;0
1773;"115,76";0;0;0;;;;;;;;;;;;;"347,28";3;3;0
1774;"88,96";0;0;0;0;0;0;;;;;;;;;;"533,76";6;6;0
1775;"137,09";0;0;0;0;0;0;;;;;;;;;;"822,54";6;6;0
1776;"44,98";0;0;;;;;;;;;;;;;;"89,96";2;2;0
1777;"24,9";0;0;0;0;0;0;;;;;;;;;;"149,4";6;6;0
1778;47;0;0;0;;;;;;;;;;;;;141;3;3;0
1779;"77,19";0;0;0;0;0;0;0;0;0;0;0;0;;;;"926,28";12;12;0
1780;"79,88";0;0;0;0;0;;;;;;;;;;;"399,4";5;5;0
1781;"108,72";0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"1522,08";14;14;0
1782;"33,62";0;0;0;0;0;0;;;;;;;;;;"201,72";6;6;0
1783;"146,3";0;0;0;0;0;0;0;0;;;;;;;;"1170,4";8;8;0
1784;"24,04";0;0;0;;;;;;;;;;;;;"72,12";3;3;0
1785;129;0;0;0;0;0;0;;;;;;;;;;774;6;6;0
1786;"56,7";0;0;;;;;;;;;;;;;;"113,4";2;2;0
1787;"70,54";0;0;0;;;;;;;;;;;;;"211,62";3;3;0
1788;43;0;0;0;;;;;;;;;;;;;129;3;3;0
1789;"166,43";0;0;0;0;0;0;;;;;;;;;;"998,58";6;6;0
1790;"103,99";0;0;0;;;;;;;;;;;;;"311,97";3;3;0
1791;"77,46";0;0;0;0;0;0;;;;;;;;;;"464,76";6;6;0
1792;"20,75";0;0;0;0;0;0;;;;;;;;;;"124,5";6;6;0
1793;103;0;0;0;0;0;0;0;0;0;0;;;;;;1030;10;10;0
1794;"74,18";0;0;0;0;0;0;;;;;;;;;;"445,08";6;6;0
1795;"115,13";0;0;0;0;0;0;0;0;0;0;;;;;;"1151,3";10;10;0
1796;"130,75";0;0;0;0;0;;;;;;;;;;;"653,75";5;5;0
1797;"74,95";0;0;0;0;0;0;;;;;;;;;;"449,7";6;6;0
1798;"56,25";0;0;0;0;;;;;;;;;;;;225;4;4;0
1799;"156,4";0;0;0;0;0;0;0;0;0;0;;;;;;1564;10;10;0
1800;"144,7";0;0;0;0;;;;;;;;;;;;"578,8";4;4;0
1801;"225,81";0;0;0;0;0;0;0;;;;;;;;;"1580,67";7;7;0
1802;"175,14";0;0;0;;;;;;;;;;;;;"525,42";3;3;0
1803;"150,15";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1801,8";12;12;0
1804;23;0;0;0;;;;;;;;;;;;;69;3;3;0
1805;"135,91";0;0;0;0;0;;;;;;;;;;;"679,55";5;5;0
1806;"139,59";0;0;0;0;0;0;;;;;;;;;;"837,54";6;6;0
1807;"170,26";0;0;0;0;0;0;;;;;;;;;;"1021,56";6;6;0
1808;"11,84";0;0;0;0;;;;;;;;;;;;"47,36";4;4;0
1809;"66,1";0;0;0;0;0;0;0;0;0;0;0;0;;;;"793,2";12;12;0
1810;"52,6";0;0;0;0;0;0;0;0;0;;;;;;;"473,4";9;9;0
1811;"93,44";0;0;0;0;;;;;;;;;;;;"373,76";4;4;0
1812;"144,03";0;0;0;0;;;;;;;;;;;;"576,12";4;4;0
1813;"92,76";0;0;0;0;0;0;0;;;;;;;;;"649,32";7;7;0
1814;"88,96";0;0;0;0;;;;;;;;;;;;"355,84";4;4;0
1815;"37,8";0;0;0;;;;;;;;;;;;;"113,4";3;3;0
1816;"55,66";0;0;0;;;;;;;;;;;;;"166,98";3;3;0
1817;"94,29";0;0;0;0;0;;;;;;;;;;;"471,45";5;5;0
1818;"155,97";0;0;0;0;0;0;;;;;;;;;;"935,82";6;6;0
1819;"28,04";0;0;0;0;0;;;;;;;;;;;"140,2";5;5;0
1820;"165,26";0;0;0;0;0;;;;;;;;;;;"826,3";5;5;0
1821;"124,62";0;0;0;0;0;0;0;0;0;;;;;;;"1121,58";9;9;0
