ID;VALOR_PARCELA;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;VALOR_TOTAL;TOTAL_PARCELAS;PARCELAS_PAGAS;PARCELAS_NAO_PAGAS
878;"161,89";0;0;0;0;0;0;0;0;;;;;;;;"1295,12";8;8;0
879;"36,12";0;0;0;0;;;;;;;;;;;;"144,48";4;4;0
880;"135,45";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1625,4";12;12;0
881;"93,29";0;0;0;0;0;0;0;;;;;;;;;"653,03";7;7;0
882;"86,86";0;0;0;0;0;0;0;0;0;0;0;;;;;"955,46";11;11;0
883;195;0;0;;;;;;;;;;;;;;390;2;2;0
884;"73,26";0;0;0;0;0;0;;;;;;;;;;"439,56";6;6;0
885;"314,15";0;0;0;;;;;;;;;;;;;"942,45";3;3;0
886;"86,18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;;"1206,52";14;14;0
887;"32,67";0;0;0;0;;;;;;;;;;;;"130,68";4;4;0
888;"94,65";0;0;0;0;0;0;0;0;0;;;;;;;"851,85";9;9;0
889;135;0;0;0;0;0;;;;;;;;;;;675;5;5;0
890;"47,4";0;0;0;0;0;;;;;;;;;;;237;5;5;0
891;"148,05";0;0;0;0;0;0;;;;;;;;;;"888,3";6;6;0
892;"135,11";0;0;0;0;0;0;0;0;0;0;;;;;;"1351,1";10;10;0
893;131;0;0;;;;;;;;;;;;;;262;2;2;0
894;"83,9";0;0;0;;;;;;;;;;;;;"251,7";3;3;0
895;"290,21";0;0;0;0;0;0;;;;;;;;;;"1741,26";6;6;0
896;"98,02";0;0;0;0;0;0;0;0;0;;;;;;;"882,18";9;9;0
897;"113,92";0;0;0;;;;;;;;;;;;;"341,76";3;3;0
898;"43,76";0;0;0;0;0;0;;;;;;;;;;"262,56";6;6;0
899;"68,77";0;0;0;;;;;;;;;;;;;"206,31";3;3;0
900;69;0;0;0;0;;;;;;;;;;;;276;4;4;0
901;"69,83";0;0;0;0;0;0;0;;;;;;;;;"488,81";7;7;0
902;"151,22";0;0;0;0;0;0;;;;;;;;;;"907,32";6;6;0
903;"100,88";0;0;0;0;0;0;0;;;;;;;;;"706,16";7;7;0
904;"74,03";0;0;0;0;0;0;0;0;0;0;0;0;;;;"888,36";12;12;0
905;"37,43";0;0;0;0;0;0;0;0;0;0;0;0;;;;"449,16";12;12;0
906;"65,57";0;0;0;0;0;0;0;0;0;;;;;;;"590,13";9;9;0
907;"109,2";0;0;0;;;;;;;;;;;;;"327,6";3;3;0
908;"18,9";0;0;0;0;0;0;;;;;;;;;;"113,4";6;6;0
909;"92,05";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1104,6";12;12;0
910;"136,2";0;0;0;0;0;;;;;;;;;;;681;5;5;0
911;"69,85";0;0;0;0;;;;;;;;;;;;"279,4";4;4;0
